TrendID,ProductGroupID,TrendDescription,TrendStartDate,TrendEndDate,MarketImpact,GrowthRate,TrendRegion,TrendCategory,CustomerInterestLevel,RevenueGenerated
1,5,Success half can son possible.,2024-04-13,2024-05-16,Neutral,13.71,Asia,Emerging,695,5270.3
2,2,For human lead today.,2024-06-18,2024-05-27,Neutral,9.27,Asia,Emerging,233,6063.0
3,1,Management fast simply somebody stock.,2024-02-14,2024-04-26,Positive,11.3,Asia,Emerging,644,7694.03
4,2,Energy within social win for.,2024-01-12,2024-05-03,Negative,9.8,Asia,Emerging,408,3710.94
5,3,Theory much past maintain performance try.,2024-05-14,2024-05-28,Positive,12.29,Europe,Emerging,379,2711.69
6,4,According those that back.,2024-02-27,2024-04-12,Positive,1.28,Asia,Mature,998,4496.49
7,3,West identify necessary either forward.,2024-03-17,2024-05-27,Negative,6.97,Asia,Emerging,72,6246.01
8,4,Not kid or.,2024-02-15,2024-06-01,Positive,14.97,Asia,Emerging,729,2330.63
9,1,Lay can size my government rate.,2024-04-23,2024-06-23,Neutral,12.4,Europe,Mature,68,2673.96
10,1,Artist play company card exactly change.,2024-05-16,2024-02-07,Negative,0.61,North America,Emerging,839,9537.43
11,3,Scientist beyond us smile.,2024-07-10,2024-02-17,Negative,13.44,Europe,Declining,496,6876.15
12,1,But believe through.,2024-03-03,2024-01-21,Negative,0.7,Europe,Mature,753,7531.74
13,4,Congress democratic son reduce democratic section detail.,2024-04-19,2024-08-12,Negative,4.3,Europe,Mature,555,9348.95
14,2,Industry game fire air professional apply general.,2024-01-01,2024-07-09,Neutral,8.78,Asia,Emerging,728,3387.33
15,1,Way song reduce outside run.,2024-06-18,2024-02-15,Neutral,8.78,North America,Emerging,435,2550.62
16,2,Area eat movement.,2024-01-27,2024-08-16,Negative,7.45,Europe,Emerging,65,7327.28
17,5,Ability explain little next half tonight.,2024-01-25,2024-05-08,Positive,14.59,Asia,Emerging,764,2552.1
18,4,Cultural drug thank.,2024-03-14,2024-04-22,Negative,5.22,North America,Declining,543,4934.38
19,1,Property about act performance compare.,2024-03-19,2024-01-12,Positive,6.94,Europe,Emerging,529,1549.97
20,5,Book Mr human into fall production buy strong.,2024-03-03,2024-03-30,Negative,14.54,North America,Declining,659,2608.66
